City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
109,Berlevag,NO,70.8578,29.0864,30.15,80,75,26.46,broken clouds
110,Tasiilaq,GL,65.6145,-37.6368,30.36,95,100,13.0,snow
111,Khonsa,IN,27.0167,95.5667,63.68,83,78,2.68,broken clouds
112,Nouadhibou,MR,20.931,-17.0347,82.38,28,0,19.57,clear sky
113,Rawson,AR,-43.3002,-65.1023,56.05,44,15,22.35,few clouds
114,Broken Hill,AU,-31.95,141.4333,58.71,47,86,10.36,overcast clouds
115,Bethel,US,41.3712,-73.414,36.57,42,0,4.61,clear sky
116,Takab,IR,36.4009,47.1133,52.2,29,100,8.05,overcast clouds
117,Staraya Toropa,RU,56.2801,31.6702,29.55,56,98,4.76,overcast clouds
118,Torbay,CA,47.6666,-52.7314,36.28,83,75,27.63,moderate rain
119,Alenquer,BR,-1.9417,-54.7383,77.58,90,99,2.13,moderate rain
120,Anloga,GH,5.7947,0.8973,85.71,69,100,13.4,overcast clouds
121,Tahoua,NE,14.8888,5.2692,100.38,2,100,17.27,dust
122,Kahului,US,20.8947,-156.47,74.84,73,0,6.91,clear sky
123,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,64.92,35,62,15.79,broken clouds
124,Larsnes,NO,62.2028,5.5773,40.77,76,56,6.51,broken clouds
125,Marawi,PH,7.9986,124.2928,68.52,91,9,1.77,clear sky
126,Tiksi,RU,71.6872,128.8694,-2.67,99,100,5.37,overcast clouds
127,Wlodawa,PL,51.55,23.55,50.95,44,100,7.58,overcast clouds
128,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,60,80,2.42,broken clouds
129,Muros,ES,42.7762,-9.0603,62.1,70,23,16.53,few clouds
130,Whitehorse,CA,60.7161,-135.0538,31.8,95,100,5.99,light snow
131,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,20,9.22,few clouds
132,Talnakh,RU,69.4865,88.3972,22.21,90,100,10.74,overcast clouds
133,Tura,IN,25.5198,90.2201,73.89,71,100,4.5,overcast clouds
134,Oron,NG,4.8256,8.2343,92.37,52,83,9.98,broken clouds
135,Beringovskiy,RU,63.05,179.3167,-10.19,98,51,10.78,broken clouds
136,Port Alfred,ZA,-33.5906,26.891,68.18,76,100,4.0,overcast clouds
137,Kourou,GF,5.1552,-52.6478,86.05,66,93,7.7,overcast clouds
138,Pemangkat,ID,1.1667,108.9667,81.64,75,100,2.93,heavy intensity rain
139,Millbrook,US,32.4799,-86.3619,73.47,46,75,11.5,broken clouds
140,Zhangjiakou,CN,40.81,114.8794,38.3,37,2,6.15,clear sky
141,Avarua,CK,-21.2078,-159.775,78.85,89,100,5.75,overcast clouds
142,Hailey,US,43.5196,-114.3153,35.89,74,0,8.05,clear sky
143,Kapaa,US,22.0752,-159.319,71.11,98,100,0.0,overcast clouds
144,Omboue,GA,-1.5746,9.2618,84.24,68,21,11.36,few clouds
145,Palmer,US,42.1584,-72.3287,37.65,37,59,3.0,broken clouds
146,Bonavista,CA,48.6499,-53.1147,34.12,79,28,23.73,scattered clouds
147,East London,ZA,-33.0153,27.9116,72.54,88,0,4.61,clear sky
148,Pimentel,PE,-6.8367,-79.9342,73.69,73,0,5.75,clear sky
149,Parrita,CR,9.5201,-84.3225,85.86,55,93,2.46,overcast clouds
150,Roald,NO,62.5833,6.1333,40.12,87,100,3.44,light snow
151,Kumluca,TR,36.3703,30.2869,62.69,54,0,5.55,clear sky
152,Tocopilla,CL,-22.092,-70.1979,70.63,66,3,7.92,clear sky
153,Pietarsaari,FI,63.65,22.6833,32.0,62,96,1.01,overcast clouds
154,Poum,NC,-20.2333,164.0167,81.95,80,10,12.44,clear sky
155,Sao Filipe,CV,14.8961,-24.4956,73.17,73,3,14.41,clear sky
156,Sawtell,AU,-30.3833,153.1,68.02,94,75,12.66,broken clouds
157,Dubti,ET,11.7361,41.0853,92.88,17,14,19.55,few clouds
158,Chokurdakh,RU,70.6333,147.9167,-18.56,100,93,5.61,overcast clouds
159,Ancud,CL,-41.8697,-73.8203,49.23,65,18,4.12,few clouds
160,Pangnirtung,CA,66.1451,-65.7125,19.4,73,75,0.0,broken clouds
161,Pacific Grove,US,36.6177,-121.9166,51.91,89,100,8.05,overcast clouds
162,Soe,ID,-9.8607,124.284,65.91,94,100,3.49,moderate rain
163,Beloha,MG,-25.1667,45.05,74.55,69,0,15.82,clear sky
164,Songea,TZ,-10.6833,35.65,70.95,88,75,5.75,broken clouds
165,Faanui,PF,-16.4833,-151.75,81.5,74,53,14.07,light rain
166,Geraldton,AU,-28.7667,114.6,73.81,94,100,6.91,overcast clouds
167,Verkhoyansk,RU,67.5447,133.385,-5.78,100,98,1.39,overcast clouds
168,Senneterre,CA,48.3835,-77.2328,25.9,78,95,5.88,overcast clouds
169,Bemidji,US,47.4736,-94.8803,32.05,94,100,8.05,light snow
170,Bathsheba,BB,13.2167,-59.5167,83.01,61,20,24.16,few clouds
171,Seddon,AU,-37.8068,144.8916,61.83,68,75,17.27,broken clouds
172,Nishihara,JP,26.1842,127.7558,72.68,97,100,6.91,overcast clouds
173,Vadso,NO,70.0744,29.7487,27.48,86,75,14.97,broken clouds
