City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
137,Kourou,GF,86.05,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
138,Pemangkat,ID,81.64,heavy intensity rain,1.1667,108.9667,Ramah Kost KITA
139,Millbrook,US,73.47,broken clouds,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
140,Zhangjiakou,CN,38.3,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
141,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
142,Hailey,US,35.89,clear sky,43.5196,-114.3153,Wood River Inn & Suites
143,Kapaa,US,71.11,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
144,Omboue,GA,84.24,few clouds,-1.5746,9.2618,Hotel Olako
145,Palmer,US,37.65,broken clouds,42.1584,-72.3287,Wedgewood Motel
146,Bonavista,CA,34.12,scattered clouds,48.6499,-53.1147,Sweet Sharons bnb
147,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
148,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
149,Parrita,CR,85.86,overcast clouds,9.5201,-84.3225,Beso del Viento
150,Roald,NO,40.12,light snow,62.5833,6.1333,Flem Cabins
151,Kumluca,TR,62.69,clear sky,36.3703,30.2869,TurkuazKöy
152,Tocopilla,CL,70.63,clear sky,-22.092,-70.1979,Hotel Galvarino
153,Pietarsaari,FI,32.0,overcast clouds,63.65,22.6833,Jakobstad City Hotel Pietarsaari
154,Poum,NC,81.95,clear sky,-20.2333,164.0167,
155,Sao Filipe,CV,73.17,clear sky,14.8961,-24.4956,Hotel Xaguate
156,Sawtell,AU,68.02,broken clouds,-30.3833,153.1,The Bungalow Sawtell
159,Ancud,CL,49.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
161,Pacific Grove,US,51.91,overcast clouds,36.6177,-121.9166,Lovers Point Inn
162,Soe,ID,65.91,moderate rain,-9.8607,124.284,Dena Hotel
163,Beloha,MG,74.55,clear sky,-25.1667,45.05,
164,Songea,TZ,70.95,broken clouds,-10.6833,35.65,mtakuja
165,Faanui,PF,81.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
169,Bemidji,US,32.05,light snow,47.4736,-94.8803,Hampton Inn & Suites Bemidji
170,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
171,Seddon,AU,61.83,broken clouds,-37.8068,144.8916,Footscray Motor Inn
172,Nishihara,JP,72.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
174,Folkestone,GB,53.98,overcast clouds,51.0833,1.1833,Folkestone Grand Burstin Hotel
175,Bredasdorp,ZA,72.37,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
177,Fortuna,US,48.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
178,Kauhajoki,FI,30.76,light snow,62.4333,22.1833,Helmin Kortteeri / Kahvila Helmi Saarikoski Oy
179,Yulara,AU,78.64,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
180,Dunedin,NZ,61.81,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
181,Vestmannaeyjar,IS,40.19,broken clouds,63.4427,-20.2734,Glamping & Camping
182,Ranong,TH,79.12,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
183,Yumen,CN,46.31,few clouds,40.2833,97.2,
